,Date,total_cases,special_cause_reason,moving_range,I_UCL,I_LCL,I_LCL_SIGMA_1,I_UCL_SIGMA_1,I_LCL_SIGMA_2,I_UCL_SIGMA_2,MR_UCL,MR_LCL,X_BAR,MR_BAR,I_control_flag,MR_control_flag
0,2020-03-20,21,7 more more consenscutive points on one side of the average,,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,out of control,in control
1,2020-03-21,17,7 more more consenscutive points on one side of the average,4.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,out of control,in control
2,2020-03-22,28,7 more more consenscutive points on one side of the average,11.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,out of control,in control
3,2020-03-23,24,7 more more consenscutive points on one side of the average,4.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,out of control,in control
4,2020-03-24,20,7 more more consenscutive points on one side of the average,4.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,out of control,in control
5,2020-03-25,38,7 more more consenscutive points on one side of the average,18.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,out of control,in control
6,2020-03-26,39,7 more more consenscutive points on one side of the average,1.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,out of control,in control
7,2020-03-27,37,7 more more consenscutive points on one side of the average,2.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,out of control,in control
8,2020-03-28,21,7 more more consenscutive points on one side of the average,16.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,out of control,in control
9,2020-03-29,10,7 more more consenscutive points on one side of the average,11.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,out of control,in control
10,2020-03-30,49,,39.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
11,2020-03-31,45,,4.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
12,2020-04-01,44,,1.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
13,2020-04-02,52,,8.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
14,2020-04-03,75,,23.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
15,2020-04-04,31,,44.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
16,2020-04-05,29,,2.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
17,2020-04-06,43,,14.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
18,2020-04-07,28,,15.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
19,2020-04-08,39,,11.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
20,2020-04-09,58,,19.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
21,2020-04-10,30,,28.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
22,2020-04-11,46,,16.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
23,2020-04-12,50,,4.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
24,2020-04-13,31,,19.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
25,2020-04-14,28,,3.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
26,2020-04-15,82,,54.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,out of control
27,2020-04-16,39,,43.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
28,2020-04-17,54,,15.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
29,2020-04-18,55,,1.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
30,2020-04-19,33,,22.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
31,2020-04-20,42,,9.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
32,2020-04-21,39,,3.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
33,2020-04-22,41,,2.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
34,2020-04-23,52,,11.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
35,2020-04-24,25,,27.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
36,2020-04-25,30,,5.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
37,2020-04-26,38,,8.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
38,2020-04-27,26,,12.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
39,2020-04-28,30,,4.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
40,2020-04-29,35,,5.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
41,2020-04-30,42,,7.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
42,2020-05-01,65,,23.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
43,2020-05-02,46,,19.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
44,2020-05-03,26,,20.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
45,2020-05-04,35,,9.0,82.36730123180291,2.580067189249718,29.17581187010078,55.77155655095185,15.877939529675249,69.06942889137738,49.05,0.0,42.473684210526315,15.0,in control,in control
